date,sma20_AAP,sma20_ACN,sma20_ADBE,sma20_AFL,sma20_ALB,sma20_ALK,sma20_AOS,sma20_ATVI,sma20_AYI,sma20_MMM,sma100_AAP,sma100_ACN,sma100_ADBE,sma100_AFL,sma100_ALB,sma100_ALK,sma100_AOS,sma100_ATVI,sma100_AYI,sma100_MMM,rsi_AAP,rsi_ACN,rsi_ADBE,rsi_AFL,rsi_ALB,rsi_ALK,rsi_AOS,rsi_ATVI,rsi_AYI,rsi_MMM,volume_AAP,volume_ACN,volume_ADBE,volume_AFL,volume_ALB,volume_ALK,volume_AOS,volume_ATVI,volume_AYI,volume_MMM,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cap_AAP,cap_ACN,cap_ADBE,cap_AFL,cap_ALB,cap_ALK,cap_AOS,cap_ATVI,cap_AYI,cap_MMM,pe_AAP,pe_ACN,pe_ADBE,pe_AFL,pe_ALB,pe_ALK,pe_AOS,pe_ATVI,pe_AYI,pe_MMM
2008-05-23,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30994251546492,-0.34117230566934675,0.15850144092219065,-0.06034598363953303,0.4851685941290488,-0.4671138035482474,0.39698825086877276,0.6357434855666741,0.06466686765149254,-0.12818245353796076,0.07390836111847467,-0.006964705314701549,-0.17279262496580078,-0.16111391641476333,-0.31562342329771564,0.0026726623162014163,-0.46503665156996515,-0.18235845731693182,0.0317057883300613,-0.1234059126301152,0,0,0,1,0,0,0,0,0,0,0,-0.8485642684327324,0.08327194205723543,0.11501794593741876,0.19360865227988655,-0.8610402263879066,-1.0,-0.9842216645614428,-0.5712062941691608,-0.9324148926614024,1.0,-0.662729510483774,-0.643625709599954,-0.12912958932979957,-0.6781509590196457,-0.680579769653237,-1.0,-0.8457965701645438,1.0,-0.7509733049236726,-0.8150715223149144
2008-05-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4968435086068298,-0.18492278483943414,0.22955145118733555,-0.015866897925097545,0.502641296543236,-0.17347089167280738,0.40593413759373886,0.6496103833441894,0.23961380924517262,-0.11072416553157405,-0.009342015551659635,-0.10126091930738781,-0.12815926065487712,-0.10713558036995105,-0.3915196915132735,0.016452411955812506,-0.3248465310216568,-0.26802996180990835,-0.007666228008592842,-0.12357114287258886,0,0,0,1,0,0,0,0,0,0,0,-0.8500627229373754,0.09453655121129967,0.12896551059411565,0.1954755284419012,-0.8638110644505173,-1.0,-0.9862182070026797,-0.5676834100016719,-0.9343974607568007,1.0,-0.6809850769251069,-0.6579107167561768,-0.13729933941593808,-0.6975987971137905,-0.7027923204753195,-1.0,-0.8618728767021817,1.0,-0.7693381697275867,-0.8353490977145327
2008-05-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6769847929286535,0.20636626493692567,0.4851752021563348,0.11830300388652693,0.5309382444345025,-0.07423100203598731,0.48736047275114835,0.5777265423041993,0.3194796538960498,0.07635887360838278,0.2041718970070493,0.0847735336083721,0.027977567982032568,-0.1526168826074111,-0.37425991448344215,-0.039499180235092794,-0.04602358246342501,-0.27560628309257107,0.04865950284313966,-0.003389982324288598,0,0,0,1,0,0,0,0,0,0,0,-0.8436221400809492,0.106918564685621,0.14145003661612776,0.18438878811470216,-0.8618249911057869,-1.0,-0.9857441458720785,-0.5772098230273839,-0.9326810100240813,1.0,-0.6504205296810165,-0.6394646667605566,-0.10161263854139846,-0.691908486094075,-0.686899636984751,-1.0,-0.8549371249710407,1.0,-0.7538167046904354,-0.8275114611532979
2008-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6958262977875909,0.34210079755642253,0.49868766404199505,0.22990429020815228,0.5021114377029618,0.0419590715021837,0.4205725638941554,0.6000000000000003,0.31797795696359554,0.1308729887024992,0.24486908589694073,0.22582553296574348,0.08932589272581999,-0.2031292216351309,-0.07482516698138143,0.11954142414048248,0.05380157956740235,-0.2663592569916202,-0.18620621132980225,-0.026315990663685337,0,0,0,1,0,0,0,0,0,0,0,-0.8438481862438305,0.14180425947564257,0.15385250255209715,0.1847736188462279,-0.8627798931928207,-1.0,-0.9878059144929672,-0.573312746992539,-0.9340901904554645,1.0,-0.6608883241283364,-0.6344780713137885,-0.10657574810727,-0.7052925945148403,-0.6993629587957034,-1.0,-0.8728135319518167,1.0,-0.7671416414912685,-0.8404614816581447
2008-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940660006055085,0.4602757207215916,0.5366795366795372,0.2013598326359829,0.4967827305277366,-0.016672841793256676,0.4213042301794877,0.34420774711562796,0.49087424925802203,0.18104200334653864,0.0698782082736937,0.20391192645202233,0.03298101202057927,0.010345148971552346,-0.21714401096232055,0.058563507119010046,-0.11955739702465089,-0.086767758381102,0.08042845321602589,-0.017816147680417446,0,0,0,1,0,0,0,0,0,0,0,-0.8438875279571297,0.1684896093495365,0.1643799065101621,0.18250781962654727,-0.8611836646977409,-1.0,-0.9858224154672318,-0.5711051227656365,-0.9311407404306997,1.0,-0.6587530787808928,-0.6155489779471914,-0.09575811945931378,-0.7011371312144037,-0.6916826548480096,-1.0,-0.8573089256746362,1.0,-0.7511624866214364,-0.8340958779998968
2008-06-02,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987692700792081,0.4259443537794054,0.3861892583120209,-0.08904982230268854,0.23113194067384868,-0.11413935445367285,0.08617006124483573,0.4793615412172121,0.2510955666662713,-0.09543008824162347,0.11397475728662688,0.2276031001099696,-0.011785135836110804,-0.09168845009152803,-0.26602531700325216,0.02234201173624877,-0.09113925178987348,-0.2486770505623462,-0.18799672023195474,0.03444158365538496,0,0,0,0,1,0,0,0,0,0,0,-0.8397172207546264,0.17780701609167693,0.16458617125983777,0.18333885108178216,-0.8621710766805764,-1.0,-0.9853664032453812,-0.565986312136582,-0.9317053480300544,1.0,-0.6515362496209782,-0.6685450010517615,-0.1922283514183898,-0.7072147397978654,-0.7003572478056672,-1.0,-0.8548727341390592,1.0,-0.7659706352325194,-0.8390820446788969
2008-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6871048968880467,0.4666639372786632,0.3798449612403101,0.03428117782910012,0.1306665805034084,-0.0933138116154224,0.14832103598855462,0.3497713263074176,0.1461924956209092,-0.04903838901877955,0.004381364192450125,-0.04290267941086704,0.016374655705059266,0.04009265918184333,-0.07883523864449471,0.018954628709179744,-0.16444280671982023,-0.04375441297274056,-0.030583837795001782,0.11828739142418238,0,0,0,0,1,0,0,0,0,0,0,-0.8406190289964819,0.17723357832052522,0.16652891188227947,0.18705163113337853,-0.8627614975339324,-1.0,-0.9863232195099939,-0.5640630619406444,-0.9335441978416368,1.0,-0.6590325826270947,-0.6753838346221746,-0.19845248657467318,-0.7119849025308109,-0.7066876474780219,-1.0,-0.862993723165109,1.0,-0.7778881187969992,-0.8452455323964324
2008-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6633554714738041,0.36037341059069683,0.40813810110974136,0.00631219367295377,0.09444313553902584,-0.18440942548041317,-0.1593017770089633,0.3555697886387158,0.25893908672583565,-0.09933293288229894,-0.04776205572815109,-0.0016375517859885677,-0.04454581796048903,0.013120233458659354,-0.13483714703301358,0.14067533433786797,-0.22269953875395926,-0.12816619119117964,-0.1658105819558045,0.09151302842372643,0,0,0,0,1,0,0,0,0,0,0,-0.8401571586778128,0.16446443846948933,0.18457129476052492,0.18633909429806783,-0.8584879694932035,-1.0,-0.9865591437313903,-0.5590726328038864,-0.9326382215091027,1.0,-0.6589256790143461,-0.6808874255498018,-0.18841349928562878,-0.7111890473683151,-0.6937372977723655,-1.0,-0.8671373979250554,1.0,-0.7744705805944297,-0.8422583877693217
2008-06-05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6988075027102195,0.40666641782688195,0.25506072874493946,0.04890184092686145,0.18601660943621723,-0.06281306795513997,-0.02545555710112657,0.25833522340666903,0.31406351846440816,0.015263932940643099,0.11670876182008498,-0.14107127079078707,0.13194368749945617,0.06826445698703415,0.028891180766886976,0.22548265729263858,-0.17038079737546244,-0.3478051530357208,-0.33996459858132855,0.004477435389043151,0,0,0,0,1,0,0,0,0,0,0,-0.8392160570505252,0.16532413212027652,0.15607276902833145,0.19098558756973416,-0.8582052285932448,-1.0,-0.988204872369256,-0.5623728570439491,-0.9339457695408789,1.0,-0.6615579247272223,-0.691540109756422,-0.2185570333327117,-0.7205603912478784,-0.6985183580484897,-1.0,-0.878285496104036,1.0,-0.7842153526825494,-0.8556441593138877
2008-06-06,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19945665112240618,0.19998710384627782,0.004576659038901476,-0.18442577650049619,0.09446235883691334,-0.17472089936763213,-0.2302790595473514,0.28121932913804093,0.07679157682071647,-0.2847830224590786,0.15387090062179984,-0.1374189406698549,0.04774869093338572,0.13836289275606775,0.030831846348144735,0.3607275183622074,-0.11037676558060018,-0.2135397038978626,-0.049864541360880386,0.1886161176721395,0,0,0,0,1,0,0,0,0,0,0,-0.8379546736527026,0.17343037139618955,0.15402730651558172,0.19425976456081928,-0.856402876327613,-1.0,-0.9872148004687765,-0.5513708227381622,-0.9326217178562448,1.0,-0.6603930271452647,-0.6857181057172493,-0.23208600172394556,-0.7162655794596777,-0.694642057548844,-1.0,-0.8744942551321353,1.0,-0.7797219616104836,-0.8486623058019382
