date,AAP,ACN,ADBE,AFL,ALB,ALK,AOS,ATVI,AYI,MMM
2008-08-04,39.7789,31.8356,41.29,20.1741,31.0417,4.2508,5.4983,15.3086,37.0087,50.2967
2008-08-05,41.3855,31.7434,43.34,20.4883,32.6802,4.3543,5.5672,15.5102,38.7469,51.8326
2008-08-06,40.4331,31.751,43.53,20.0262,32.8366,4.3318,5.7318,16.169,39.5195,51.7822
2008-08-07,42.4244,32.0433,43.22,19.9523,32.2932,4.0777,5.6615,15.2682,38.9492,51.3279
2008-08-08,42.4244,32.0971,45.15,20.5474,33.1495,4.4803,5.9455,14.6095,40.3748,52.9864
2008-08-11,42.0589,32.0433,45.89,20.7211,33.6353,4.7636,6.089,14.8022,42.205,53.6354
2008-08-12,42.0974,31.5434,45.62,20.5954,33.413,5.074,6.0355,15.4789,40.6323,53.0729
2008-08-13,41.7991,31.3435,45.89,20.3071,33.5942,4.8424,5.7205,15.4609,41.3772,52.6114
2008-08-14,42.5591,31.4511,45.36,20.2739,33.7012,4.9143,5.7936,15.5013,40.1908,52.6691
2008-08-15,42.9151,31.5434,45.11,20.4439,33.3965,5.1595,5.8991,15.3041,40.0069,52.9936
2008-08-18,42.6168,31.3666,44.1,20.37,33.273,4.9278,5.8063,15.3041,39.4735,52.2437
2008-08-19,41.3278,31.0436,43.73,20.1695,32.005,4.7659,5.6291,15.7657,38.4158,51.4216
2008-08-20,40.587,30.9052,44.28,20.1398,32.145,4.4308,5.6108,15.3265,38.8573,51.3351
2008-08-21,40.6928,30.7975,44.51,20.2289,32.1285,4.3948,5.563,15.2772,38.5998,51.4948
2008-08-22,40.866,31.1512,44.91,20.5222,32.9354,4.6984,5.6797,15.2279,40.0253,52.4897
2008-08-25,40.0387,30.1746,43.67,20.1064,32.2026,4.5635,5.6193,15.0307,39.1792,51.3641
2008-08-26,39.9425,30.5053,43.36,19.8985,32.4743,4.2508,5.653,14.5646,38.5814,51.3569
